EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
351849589,GOSHEN COMMUNITY CHORALE INCORPORATED,% KAY HERSHBERGER,PO BOX 724,GOSHEN,IN,46527-0724,0,3,3,1000,199312,1,16,89000000,1,1,202206,0,0,2,0,6,0,0,0,A6BZ,
351849739,PSI CHI THE NATIONAL HONOR SOCIETY IN PSYCHOLOGY,% TODD MANSON,4201 GRANT LINE RD,NEW ALBANY,IN,47150-2158,1400,3,9,2000,195712,1,16,59036000,5,1,202306,0,0,2,0,6,0,0,0,,INDIANA UNIVERSITY SOUTHEAST
351850100,WASHINGTON TOWNSHIP VOLUNTEER FIRE DEPARTMENT INC OF STARKE COUNTY,,PO BOX 295,KNOX,IN,46534-0295,0,4,3,1000,199211,1,0,407000000,1,1,202212,1,3,1,0,12,9082,64862,64862,,
351850101,MONON TOWN AND TOWNSHIP PUBLIC LIBRARY LEASING CORPORATION,,110 S MAIN ST,MONTICELLO,IN,47960-2328,0,4,3,3000,199302,1,0,904000000,1,1,,6,3,14,0,12,,,,,
351850165,LIVING WATER CHURCH INC,% NANCY L TOLLE,2908 SELLERS CT,JEFFERSONVLLE,IN,47130-9343,0,3,3,7000,199206,1,10,1000000,1,1,,0,0,6,0,12,,,,,
351850166,MT CALVARY FREE WILL BAPTIST CHURCH,,2743 N SHERMAN DR,INDIANAPOLIS,IN,46218-3046,0,3,3,7000,201707,1,10,0,1,1,,0,0,6,0,12,,,,X20,
351850192,CENTER FOR BUSINESS EXCELLENCE INC,,418 S MAIN STREET,ELKHART,IN,46516-0000,0,3,3,1000,199312,1,15,149000000,1,1,202212,6,4,1,0,12,1992321,135567,135567,S50Z,
351850315,APPRAISAL INSTITUTE,% LUKE NORDINE,9247 NORTH MERIDIAN STREET SUITE 10,INDIANAPOLIS,IN,46260-1879,9464,6,9,2000,199209,2,0,205000000,1,1,202212,4,4,1,0,12,179633,102965,102965,,HOOSIER STATE CHAPTER
351850390,GREATER GRANT COUNTY INC,% SCOTT MURPHY,217 S ADAMS ST,MARION,IN,46952-3835,0,6,3,3000,199212,2,0,200000000,1,1,202212,3,3,2,0,12,58870,32812,32611,,
351850736,TRI STATE GOLF COURSE SUPERINTENDENTS ASSOCIATION INC,% ANDYMINNETTE,1880 W 5TH AVE,JASPER,IN,47546-8904,0,6,3,1000,199708,2,0,205000000,1,1,202101,0,0,2,0,1,0,0,0,,
351850753,TRI STATE TRES DIAS INC,% MARGO V BORRE,15420 PECK RD,EVANSVILLE,IN,47725-9432,0,3,3,1700,202008,1,15,995000000,1,1,202212,0,0,2,0,12,0,0,0,X032,
351850782,CHARACTER COUNTS SM IN MONTGOMERY COUNTY INC,% JOHN TIDD,1 ATHENIAN DR,CRAWFORDSVLLE,IN,47933-8253,0,3,3,1000,199301,1,15,120000000,1,1,202212,0,0,2,0,12,0,0,0,A33Z,
351850797,NORTH GROVE ELEMENTARY PARENT TEACHER ORGANIZATION,% JANET EGBERT,3280 W FAIRVIEW ROAD,GREENWOOD,IN,46142-0000,0,3,3,1000,199205,1,16,35000000,5,1,202306,3,3,1,0,6,33722,63373,48108,B24I,
351850885,SONGWRITERS ASSOCIATION OF MID NORTH INDIANA,,638 NORTH ST,LAFAYETTE,IN,47901-1153,0,3,3,2000,202112,1,16,0,5,1,202212,4,4,1,0,12,220974,175751,175751,A25,
351851014,KOKOMO SOCCER CLUB INC,% DAVE BIXLER,PO BOX 93,KOKOMO,IN,46903-0093,0,3,3,1000,199707,1,15,994317349,1,1,202212,4,4,1,0,12,194331,111887,111887,N64,
351851077,NAMI INDIANA INC,% BARBARA THOMPSON,921 E 86TH ST STE 130,INDIANAPOLIS,IN,46240-1841,5142,3,9,1000,199010,1,15,179000000,5,1,202309,0,0,2,0,9,0,0,0,,GRANT AND BLACKFORD COUNTIES-MARION
351851095,EBENEZER EVANGELICAL MISSION INC,,1988 STATE RD 44,MARTINSVILLE,IN,46151-0000,0,3,3,7000,199308,1,10,1007000,1,1,,0,0,6,0,6,,,,,
351851133,LIONS OF INDIANA STATE OFFICE HOLDING CORPORATION,,8780 PURDUE ROAD,INDIANAPOLIS,IN,46268-6129,239,4,9,3000,0,2,0,911000000,5,1,202306,4,3,1,0,6,263467,76152,76152,,INDIANA LIONS STATE OFFICE
351851166,BATESVILLE SOCCER CLUB INC,% JESS HAESSIG,PO BOX 11,BATESVILLE,IN,47006-0000,0,3,3,1000,201905,1,15,0,1,1,202212,4,4,1,0,12,118606,208033,208033,N63,BATESVILLE SOCCER CLUB
351851329,ISLAMIC SOCIETY OF EVANSVILLE INC,,4200 GRIMM RD,NEWBURGH,IN,47630-9444,0,3,3,7000,199304,1,10,1000000,1,1,,0,0,6,0,12,,,,,
351851458,LITTLE BUNS INC,,12289 HANCOCK STREET SUITE 36,CARMEL,IN,46032-0000,0,3,3,1000,199307,1,15,59000000,1,1,202212,5,6,1,0,12,688744,3633354,3633354,B80Z,
351851545,NEW TESTAMENT CHRISTIAN CHURCH INCORPORATED,% WILLIAM R BURKHART,PO BOX 91,GREENVILLE,IN,47124-0000,0,3,3,1000,199308,1,10,1000000,1,1,,0,0,6,0,12,,,,,
351851555,FAITH CHAPEL,,359 E MORGAN ST,KNIGHTSTOWN,IN,46148-1036,0,3,3,7000,199206,1,10,1000000,5,1,,0,0,6,0,12,,,,,
351851731,MEMBERS OF THE BODY OF CHRIST INC,% DR DAVID PERKINS,4204 N COLLEGE AVE,INDIANAPOLIS,IN,46205-1930,0,3,3,7000,199811,1,10,1029000,1,1,,0,0,6,0,12,,,,X20Z,
351851733,JACKSON COUNTY DRUG-FREE COUNCIL INC,% BRENDA TURNER,2005 CHELSEA CT,SEYMOUR,IN,47274-3487,0,3,3,1000,199302,1,15,573000000,1,1,202309,0,0,2,0,9,0,0,0,F22I,
351851855,IMPERIAL SWATHMORE CIVIC ASSOCIATION,,PO BOX 15453,FORT WAYNE,IN,46885-5453,0,4,3,3000,201904,2,0,0,1,1,202312,0,0,2,0,12,0,0,0,P20,
351851988,GOLD WING ROAD RIDERS ASSOCIATION,% JAY SPRUNGER,18416 WOODBURN RD,WOODBURN,IN,46797-9568,7196,4,9,1000,198302,2,0,317000000,5,1,202212,0,0,2,0,12,0,0,0,,IN-G
351852069,MUNSTER INDIANA MUNICIPAL IMPROVEMENT CORPORATION,% PHYLLIS HAYDEN CLERK TREASURER,1005 RIDGE ROAD,MUNSTER,IN,46321-0000,0,3,3,1000,199211,1,17,915000000,1,1,202212,6,5,1,0,12,2584982,523945,130092,T11,
351852198,ZETA TAU ALPHA FRATERNITY,,1036 S RANGELINE RD,CARMEL,IN,46032-2544,406,7,9,1000,194105,2,0,279319000,5,1,,0,0,2,0,7,,,,,CHATTANOOGA AREA ALUMNAE OF ZETA TA
351852199,ZETA TAU ALPHA FRATERNITY,,1036 S RANGELINE RD,CARMEL,IN,46032-2544,406,7,9,1000,194105,2,0,279319000,5,1,,0,0,2,0,7,,,,,LANCASTER PA ALUMNAE CLUB
351852242,DICK REUBEN EVANGELISTIC ASSOC INC,% RICHARD REUBEN,PO BOX 777,BOONVILLE,IN,47601-0777,1620,3,9,7000,196402,1,10,1029000,5,1,,3,4,6,0,12,,,,,
351852330,VINEDRESSER MINISTRIES INC,% TED PENN PRES,224 DAVID ST,SOUTH BEND,IN,46637-3412,0,3,3,7000,199309,1,10,1000000,1,1,,1,0,6,0,12,,,,,
351852342,ST JOHN YOUTH BASEBALL INC,,PO BOX 213,SAINT JOHN,IN,46373-0213,0,3,3,1000,199205,1,16,321995000,1,1,202212,4,4,1,0,12,107064,299407,299407,,
351852351,KNIGHTS OF COLUMBUS,% JAMES W PREMESKE,8303 TAFT ST,MERRILLVILLE,IN,46410-6119,188,8,9,1000,194010,1,0,36029265,5,1,202112,0,0,2,0,12,0,0,0,,10811 GOOD SHEPHERD COUNCIL
351852399,WOMANS IMPROVEMENT CLUB OF EAST CHICAGO IN INC,% ODESSA EVANS,4437 ALDER STREET,EAST CHICAGO,IN,46312-0000,0,3,3,1000,199608,1,16,995040000,1,1,202306,0,0,2,0,6,0,0,0,B82,
351852496,INDIANA AMUSEMENT AND MUSIC OPERATORS ASSOCIATION INC,,3502 WOODVIEW TRCE STE 300,INDIANAPOLIS,IN,46268-3183,0,6,3,2000,199508,2,0,319000000,1,1,202212,4,4,1,0,12,419147,345733,313488,,
351852500,TEMPLE OF CHRIST INDEPENDENT METHODIST CHURCH,,2916 W 30TH ST,INDIANAPOLIS,IN,46222-2232,0,3,3,1000,200002,1,10,0,5,1,,0,0,6,0,12,,,,X21,
351852577,MEDORA PENTECOSTAL CHURCH,% TERESA BREWER,PO BOX 190,MEDORA,IN,47260-0190,8067,3,9,1000,196007,1,10,1000000,1,1,,0,0,6,0,3,,,,,
351852599,PUTNAM COUNTY BOARD OF REALTORS INC,% DIANE UMMEL,PO BOX 746,GREENCASTLE,IN,46135-0746,0,6,3,4000,199212,2,0,201000000,1,1,202212,2,3,2,0,12,23420,33854,28782,,
351852637,GOLD WING ROAD RIDERS ASSOCIATION,% TIM NEWMAN,5661 HODGIN RD,RICHMOND,IN,47374-7912,7196,4,9,1000,198302,0,0,317000000,1,1,202212,0,0,2,0,12,0,0,0,,IN-L
351852642,GOLD WING ROAD RIDERS ASSOCIATION,% EDGAR SNAPP,25363 RIDER LN,GUILFORD,IN,47022-9166,7196,4,9,1000,198302,0,0,317000000,1,1,202012,0,0,2,0,12,0,0,0,,IN-G2
351852658,COLUMBUS CAPITAL FOUNDATION INC,% WILLIAM D CHAMBERS,538 FRANKLIN STREET,COLUMBUS,IN,47201-0000,0,3,3,1000,199404,1,17,602000000,1,1,202212,6,6,1,0,12,2679411,2149365,2149365,,
351852674,NEW JERUSALEM FULL GOSPEL CHURCH,% CHARLES MCWILLIAM,1310 HARRISON ST,GARY,IN,46407-1113,0,3,3,7000,199210,1,10,1000000,5,1,,0,0,6,0,12,,,,,
351852737,ANIMAL ACRES INC,% DEBRA S MILLER,1378 N 775 W,CROMWELL,IN,46732-9763,0,3,3,1000,199206,1,15,913000000,1,1,202312,0,0,2,0,12,0,0,0,D200,
351852742,OWEN COUNTY ART GUILD INC,% JACK R WOODRUFF,199 W COOPER ST,SPENCER,IN,47460-1600,0,3,3,2000,199206,1,15,995000000,1,1,202212,0,0,2,0,12,0,0,0,,
351852798,BREAD FROM HEAVEN FULL GOSPEL CHURCH INCORPORATED,,1300 E WILLARD ST,MUNCIE,IN,47302-3628,0,3,3,7000,199211,1,10,1000000,1,1,,0,0,6,0,6,,,,,
351852954,GOLD WING ROAD RIDERS ASSOCIATION,% RICK WARMELS,5926 COUNTY ROAD 64,SPENCERVILLE,IN,46788-9715,7196,4,9,1000,198302,1,0,317000000,1,1,202212,0,0,2,0,12,0,0,0,,IN-D2
351853186,CONSTRUCTION FINANCIAL MANAGEMENT ASSOCIATION,% ANDREA E CASTLE CROWE HORWATH LLP,17437 CAREY RD PMB 265,WESTFIELD,IN,46074-9439,9139,6,9,2000,198609,2,0,123000000,5,1,202303,4,3,1,0,3,257137,60460,33523,,CFMA CENTRAL INDIANA CHAPTER
351853218,NEWTON COUNTY HISTORICAL SOCIETY INC,,PO BOX 303,KENTLAND,IN,47951-0303,0,3,3,1000,200012,1,15,0,1,1,202212,0,0,2,0,12,0,0,0,A50,
351853239,VOYAGEUR ANCIENT FIFE & DRUM CORPS INC,,PO BOX 6624,LAFAYETTE,IN,47903-6624,0,3,3,1000,199301,1,16,62000000,1,1,202212,0,0,2,0,12,0,0,0,,
351853259,FIRST SAMUEL MISSIONARY BAPTIST CHURCH INC,,1402 N BELLEVIEW PL,INDIANAPOLIS,IN,46222-2846,0,3,3,7000,199806,1,10,1000000,1,1,,0,0,6,0,12,,,,X20Z,
351853362,GIBSON SOUTHERN TITAN BOOSTERS INC,% SHARON DEWIG,1220,PRINCETON,IN,47670-0000,0,3,3,1000,199703,1,16,38000000,1,1,202112,0,0,2,0,12,0,0,0,N41Z,
351853481,GOLD WING ROAD RIDERS ASSOCIATION,% MIKE KADINGER,5926 COUNTY ROAD 64,SPENCERVILLE,IN,46788-9715,7196,4,9,1000,198302,2,0,317000000,1,1,202112,0,0,2,0,12,0,0,0,,IN-A2
351853529,INDIANA ASSOCIATION OF CERTIFIED ACCIDENT INVESTIGATORS,% KIP SHUTER,PO BOX 1566,WARSAW,IN,46581-1566,0,3,3,1000,201204,1,16,149000000,5,1,202212,0,0,2,0,12,0,0,0,B90,
351853659,SIRIUS READERS INC,% CAROL GUSE,12525 ROCKRIDGE PL,FORT WAYNE,IN,46814-9508,0,3,3,1000,199209,1,15,120000000,1,1,202306,0,0,2,0,6,0,0,0,B64Z,
351853730,DECATUR LIGHTHOUSE ASSEMBLY OF GOD,,PO BOX 511,DECATUR,IN,46733-0511,1678,3,9,7000,196408,1,10,0,5,1,,0,0,6,0,3,,,,,
351853748,PAR-TEE GOLF CLUB,% DIAN HOLLINS,PO BOX 13488,FORT WAYNE,IN,46869-3488,0,7,3,1000,199601,2,0,288000000,5,1,202112,0,0,2,0,12,0,0,0,,
351853831,GOLD WING ROAD RIDERS ASSOCIATION,% WILLARD MICHEAU,316 E WALNUT ST,PORTLAND,IN,47371-2220,7196,4,9,1000,198302,0,0,0,1,1,202212,0,0,2,0,12,0,0,0,,IN-T
351853938,CENTRALS INSTRUMENTAL MUSIC BOOSTER,% JASON FULLER,5400 N 1ST AVE,EVANSVILLE,IN,47710-4110,0,3,3,1000,199612,1,16,0,1,1,202305,3,4,1,0,5,60721,183377,108493,,
351853995,GOLD WING ROAD RIDERS ASSOCIATION,% GLEN ARMS,5045 DESPAIN RD NW,DEPAUW,IN,47115-9128,7196,4,9,1000,198302,2,0,317000000,1,1,202212,0,0,2,0,12,0,0,0,,IN-B
351854022,FOUNTAIN OF TRUTH CHRISTAIN CHURCH,% MARLON MOSS,5060 E 62ND ST STE 144,INDIANAPOLIS,IN,46220-5200,0,3,3,7000,199207,1,10,1000000,5,1,201912,3,6,6,0,12,65100,1035440,1035440,,
351854033,SEYMOUR COMMUNITY CHURCH,% JOHN M MATTOCKS,512 N JACKSON PARK DR,SEYMOUR,IN,47274-1852,0,3,3,7000,199210,1,10,1000000,5,1,,0,0,6,0,12,,,,,
351854094,BLACKHAWK BOW HUNTERS CLUB INC,% BLACKHAWK BOW HUNTERS CLUB INC,PO BOX 1013,NEWBURGH,IN,47629-1013,0,7,3,1000,199305,2,0,286000000,1,1,202212,0,0,2,0,12,0,0,0,,
351854221,GOLD WING ROAD RIDERS ASSOCIATION,% JAY FANSLER,3612 S 275 E,ANGOLA,IN,46703-8988,7196,4,9,1000,198302,0,0,317000000,1,1,202212,0,0,2,0,12,0,0,0,,IN-U
351854283,GOLDWING ROAD RIDERS ASSOCIATION,% WOLFGANG GLESS,21691 STATE ROAD 120,ELKHART,IN,46516-5313,7196,4,9,1000,198302,2,0,317000000,1,1,202212,0,0,2,0,12,0,0,0,,IN-02
351854475,GOLD WING ROAD RIDERS ASSOCIATION,% DARRELL KIEFNER,414 E 450 S,WASHINGTON,IN,47501-7853,7196,4,9,1000,198302,2,0,317000000,5,1,202212,0,0,2,0,12,0,0,0,,IN-M
351854496,WHITLEY COUNTY ECONOMIC DEVELOPMENT CORPORATION,% TIO ALAN,220 W VAN BUREN ST STE 102,COLUMBIA CITY,IN,46725-2056,0,4,3,1000,199307,2,0,400000000,1,1,202212,5,4,1,0,12,793725,438133,438133,,
351854544,TOASTMASTERS INTERNATIONAL,% GOLDEN GAVEL CLUB,1446 CONGRESS AVE,INDIANAPOLIS,IN,46208-4860,820,3,9,2000,194505,1,16,59319000,1,1,202212,0,0,2,0,12,0,0,0,,8911 GOLDEN GAVEL CLUB
351854559,INDIANAPOLIS UNICORN SOCIETY INC,% PAUL ECKERT,3535 W 16TH ST,INDIANAPOLIS,IN,46222-2657,0,7,3,1000,199410,2,0,319000000,1,1,,2,3,0,0,12,,,,,THE KEY CLUB
351854592,COMPANION COMMUNITY DEVELOPMENT ALTERNATIVES INC,,5055 W 15TH ST,INDIANAPOLIS,IN,46224-6507,0,3,3,1000,199311,1,15,560000000,1,1,202209,3,4,1,0,9,69583,250479,250479,Q300,
351854655,OPERATIVE PLASTERERS & CEMENT MASONS INTERNATIONAL ASSOCIATION,,3205 E THOMPSON RD,INDIANAPOLIS,IN,46227-6682,39,5,9,3000,194007,2,0,263264000,5,1,202212,6,6,1,0,12,2984936,3514919,3514919,,OPCMIA LOCAL 692
351854656,PORTAGE HIGH SCHOOL WEST SCHOOL BUILDING CORPORATION,,6450 US HIGHWAY 6,PORTAGE,IN,46368-5110,0,4,3,3000,199301,1,0,904000000,1,1,,0,0,14,0,12,,,,,
351854689,GOLD WING ROAD RIDERS ASSOCIATION,% RONNIE PRATER,3123 W 200 S,WARSAW,IN,46580-6039,7196,4,9,1000,198302,0,0,317000000,1,1,202212,0,0,2,0,12,0,0,0,,IN-F
351854805,PRIVATE ACADEMIC LIBRARY NETWORK OF INDIANA INC,% PALNI IRWIN LIBRARY,4553 CLARENDON RD,INDIANAPOLIS,IN,46208-3453,0,3,3,1000,199207,1,17,59000000,1,1,202206,7,6,1,0,6,6941406,2616774,1614753,B700,
351854883,EISENHOWER ELEMENTARY SCHOOL PARENT TEACH ORGANIZATION,,1450 S MAIN ST,CROWN POINT,IN,46307-8443,0,3,3,2000,199409,1,16,995602000,5,1,202306,3,3,1,0,6,66091,86280,44878,B112,
351854894,BEREAN EVANGELISTIC MINISTRIES BEREAN FELLOWSHIP BAPTIST CHURCH,,262 GERRY ST,GARY,IN,46406-1415,0,3,3,1700,199804,1,10,1000000,1,1,,0,0,6,0,12,,,,X21Z,
351854915,GOLD WING ROAD RIDERS ASSOCIATION,% RANDY WHITE,747 HUMMINGBIRD DR,BROWNSBURG,IN,46112-7455,7196,4,9,1000,198302,2,0,317000000,1,1,202212,0,0,2,0,12,0,0,0,,IN-C
351854935,TRUSTEES OF PURDUE UNIVERSITY,% CONNIE TROJANOWSKI,2857 W ST RD 2,LAPORTE,IN,46350-7132,5924,3,9,2000,201306,1,15,0,1,1,202212,0,0,2,0,12,0,0,0,O52,WAGONMASTERS DRAFT HORSE
351855033,I 80 90 TOURISM CORRIDOR INC,,PO BOX 588,WAKARUSA,IN,46573-0000,0,6,3,1000,199305,2,0,213000000,1,1,202212,3,5,1,0,12,86038,505590,505590,,NORTHERN IN TOURISM DEVELOPMENT COM
351855259,JERUSALEM MISSIONARY BAPTIST CHURCH INC,,1741 FILLMORE ST,GARY,IN,46407-1951,0,3,3,7000,199711,1,10,1000000,1,1,,0,0,6,0,12,,,,X22Z,
351855303,JOSHUA FOUNDATION INC,% ROBERT WINGERTER,9902 E 200 S,ZIONSVILLE,IN,46077-9702,0,3,3,1000,199207,1,4,6000000,1,1,202303,6,3,0,1,3,1161864,40112,,,
351855367,HOOSIER APPALOOSA ASSOCIATION,% ANNA SHAW,820 E SPRING ST,BLOOMFIELD,IN,47424-8720,0,5,3,1000,201806,2,0,0,1,1,202212,0,0,2,0,12,0,0,0,D03,
351855374,NEW PALESTINE ELEMENTARY SCHOOL BUILDING CORPORATION,,4711 S 500 W,NEW PALESTINE,IN,46163-0000,0,4,3,3000,199206,1,0,904000000,1,1,,8,5,14,0,12,,,,,
351855446,GOLD WING ROAD RIDERS ASSOCIATION,% DARRELL HODSON,5926 COUNTY ROAD 64,SPENCERVILLE,IN,46788-9715,7196,4,9,1000,198302,2,0,317000000,1,1,202112,0,0,2,0,12,0,0,0,,IN-M2
351855504,CHAMP CAMP INC,% RICHARD T ADAMS,1950 E GREYHOUND PASS 18-357,CARMEL,IN,46033-7400,0,3,3,2000,199207,1,15,325000000,1,1,202212,5,4,1,0,12,609419,422064,365393,O43Z,
351855559,MADISON-JEFFERSON COUNTY HUMANE SOCIETY INC,% WARREN AUXIER,PO BOX 257,MADISON,IN,47250-0257,0,3,3,1000,199306,1,15,913000000,1,1,202212,5,3,2,0,12,675704,47627,47627,D200,
351855580,DEAD SEA SCROLLS FOUNDATION INC,% WESTON W FIELDS,PO BOX 1775,WARSAW,IN,46581-0000,0,3,3,1000,199210,1,15,119000000,1,1,202212,1,3,1,0,12,2019,60339,60339,X20Z,
351855594,SOUTHEASTERN INDIANA YMCA INC,% JERRY LANNING,30 STATE ROAD 129 S,BATESVILLE,IN,47006-9227,0,3,3,1000,199205,1,16,324000000,1,1,202212,6,6,1,0,12,3659674,3288995,3268125,P27Z,
351855711,KNIGHTS OF COLUMBUS,% CHARLES E MCCONNELL JR,1225 MAIN ST,ANDERSON,IN,46016-1710,188,8,9,1000,194010,1,0,0,5,1,202006,0,0,2,0,6,0,0,0,,236 GENERAL MEAGHER ASSEMBLY
351855854,ALPHA XI DELTA FRATERNITY,% FLORIDA INTERNATIONAL UNIVERSITY,1389 W 86TH STREET 350,INDIANAPOLIS,IN,46260-2101,661,7,9,1000,194403,2,0,34036040,5,1,202305,3,4,1,0,5,60290,161758,161758,,THETA XI CHAPTER
351855863,IBA FOUNDATION INC,% PAUL W FREEMAN,8425 WOODFIELD CROSSING BLVD 155E,INDIANAPOLIS,IN,46240-7321,0,3,3,2000,199207,1,17,603000000,1,1,202212,8,6,1,0,12,13140684,2809142,2809142,,
351855895,INDIANA LAKES MANAGEMENT SOCIETY INC,% CHRISTIAN R ANDERSON,200 S WAYNE ST,ANGOLA,IN,46703-1937,0,3,3,2000,201810,1,16,353000000,1,1,202112,0,0,2,0,12,0,0,0,C32,
351855897,NECA LABOR MANAGEMENT COOPERATIVE COMMITTEE TRUST,,PO BOX 2006,MICHIGAN CITY,IN,46361-8006,0,6,3,1000,199712,2,0,261000000,2,1,202303,4,4,1,0,3,162370,222565,222565,,
351855960,HEAVENS GATE APOSTOLIC CHURCH INC,,401 W HARRISON ST,MONTICELLO,IN,47960-2213,0,3,3,7000,200006,1,10,0,1,1,,0,0,6,0,12,,,,X20,
351856004,FAMILY AND YOUTH OUTREACH SERVICES INC,% MARCELLA JONES PRESTON,160 N SUMMIT DR,SOUTH BEND,IN,46619-1655,0,3,3,1000,201202,1,15,994007000,1,1,202212,0,0,2,0,12,0,0,0,J22,
351856017,GOLD WING ROAD RIDERS ASSOCIATION,% ALICE ROBBINS,6921 E US HIGHWAY 36,ROCKVILLE,IN,47872-7704,7196,4,9,1000,198302,0,0,317000000,1,1,202212,0,0,2,0,12,0,0,0,,IN-D
351856136,RIVER PARK BUSINESS ASSOCIATION INC,% JENNIFER CASTANEDA,PO BOX 6482,SOUTH BEND,IN,46660-6482,0,6,3,1000,201402,2,0,200000000,1,1,202212,0,0,2,0,12,0,0,0,Y03,
351856213,COMMUNITY VENTURES IN LIVING LTD,,60 PROFESSIONAL CT,LAFAYETTE,IN,47905-5152,0,3,3,1000,199310,1,16,160000000,1,1,202212,6,7,1,0,12,3675275,9620843,9620843,S21Z,
351856406,COPE ENVIRONMENTAL CENTER INC,% JAMES & HELEN COPE,1730 AIRPORT RD,CENTERVILLE,IN,47330-9516,0,3,3,1000,200801,1,15,350000000,1,1,202206,6,4,1,0,6,2591377,391917,369030,,
351856444,COMMUNITY REINVESTMENT FOUNDATION INC,% DAVID E COOPER PRESIDENT,2498 PERRY CROSSING WAY STE 260,PLAINFIELD,IN,46168-5520,5168,3,6,1000,199209,1,15,380994000,1,1,202303,7,5,1,0,3,5774648,517765,34395,,
351856501,BRISTOL HOMECOMING FESTIVAL,% CATHY BURKE,PO BOX 61,BRISTOL,IN,46507-0061,0,4,3,1000,202205,2,0,0,5,1,202212,0,0,2,0,12,0,0,0,S21,
351856533,UNION COUNTY FRIENDS OF THE LIBRARY UNION COUNTY PUBLIC LIBRARY,% JULIE JOLLIFF,2 E SEMINARY ST,LIBERTY,IN,47353-1320,0,3,3,1200,201507,1,15,59319000,5,1,202212,0,0,2,0,12,0,0,0,,
351856547,KNIGHTS OF COLUMBUS,% JAMES MARMALEJO,8501 CALUMET AVE,MUNSTER,IN,46321-2522,188,8,9,1000,194010,0,0,0,1,1,202212,0,0,2,0,12,0,0,0,,10596 MUNSTER IN COUNCIL
351856596,WOODSIDE COMMUNITY CHURCH,,1811 S MORGANTOWN RD,GREENWOOD,IN,46143-9406,2258,3,9,7100,197203,1,10,29000000,5,1,,0,0,6,0,12,,,,,
351856732,THE CHURCH WITHIN INC,,1125 SPRUCE ST,INDIANAPOLIS,IN,46203-2055,0,3,3,7000,199401,1,10,1000000,1,1,,0,0,6,0,12,,,,,
